split_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,specent_0,specent_1,specent_2,specent_3,specent_4,specent_5,specent_6,specent_7,specent_8,specent_9,specent_10,specent_11,specent_12,specent_13,specent_14,specent_15,specent_16,specent_17,specent_18,specent_19,specontrast_0,specontrast_1,specontrast_2,specontrast_3,specontrast_4,specontrast_5,specontrast_6,user
U1_0,-105.79816399999999,40.939116999999996,-73.916855,-37.949013,-49.8294,-28.794703000000002,-46.859943,-12.103512,-9.689343,-1.2101833999999998,-4.914582,3.713443,3.4537442000000005,-0.26354447,-4.984275,9.842603,-3.7771597000000003,2.8855727000000004,-1.138455,1.528363,0.007374782839188031,0.011204314715261685,-0.016688999816261985,-0.01573577125010873,-0.009505319294987234,-0.013976618058808196,3688.4618250714257,3658.749903206703,3521.997432050646,3325.7789701808624,3058.5272659673437,2892.4717182883805,2875.797413007409,2928.9362093561217,2896.774860714223,2726.68979508429,2457.295733193172,2284.160838401445,2176.256578507533,2320.8199026049842,3009.0485515741066,2886.448510590078,2558.6728488126114,2660.407484722768,2967.7285870535056,3108.369230884838,18.85905472476076,17.924779308197532,15.63425535921007,14.836176958681202,17.304861986055688,16.959089654828464,31.14039874785477,1
U1_1,-129.95412,51.772465000000004,-72.19270999999999,-28.651827,-42.49223,-20.848370000000003,-35.95783,0.44173282,2.958284,10.458473,5.7621803,9.75874,5.937750299999999,1.5216767,-1.3865722,9.15276,-5.901617,0.48108270000000003,-5.498401599999999,-2.356354,-0.008178667234560752,0.016398236088766685,-0.034218994301112735,-0.012450881024031028,-0.0063560420219576225,-0.007365898518212866,2852.3814273122102,2874.057388649643,2759.3547896238897,2644.4050256143632,2588.2850219403,2680.493561555496,2706.809974430259,2807.9921815089087,2936.6063185495323,2708.9566152733605,2477.348579218964,2489.946904493377,2827.045067990638,2587.6844573362337,2639.077107951377,2993.899535571396,3133.044082430911,3023.546617621669,2560.198587947214,2237.3028775726707,21.12518584866061,14.177485348291814,18.227962787671174,14.748237886904551,17.05651507739352,16.967817583904537,30.855675380784387,1
U1_2,-177.25877,25.953506,-70.69343,-39.981559999999995,-47.969738,-22.260958,-34.20711,4.550258599999999,8.056585,15.198538000000001,10.117032,9.918650999999999,6.6129637,3.542465,3.411741,13.378617000000002,-1.7449758000000002,7.1557884000000005,-0.22806013,-1.8701493000000002,0.016805757518774028,-0.0019198317929849773,-0.01354989540046026,-0.02788672878824492,-0.009169210140780834,-0.0039013945283474733,2789.224935209616,2653.362274166116,2621.288604687227,2724.427170500212,2770.217402752808,2952.853511301876,3027.045678604381,2637.004929942465,2414.551569499851,2345.261597577161,2432.6027468969783,2334.4345042708555,2314.4849296395323,2651.1430360673394,2952.1967666838973,3018.352047661534,2941.2634736945893,2686.0386160579674,2579.8245950560267,2669.829963055531,18.921411650172907,15.989739710120224,18.846690237868877,16.6205897926815,18.176706215279374,18.199747743170853,30.95617089339555,1
U1_3,-255.20021,20.46994,-80.3728,-50.012184000000005,-48.09045,-25.653149,-33.38653,-2.1459334,0.4508374,14.873682,14.976532,9.845616999999999,5.6131150000000005,5.347709,2.085383,13.040027,-2.5649702999999997,-4.1982230000000005,-4.137409,0.26255012,-0.005065502250134864,-0.0015937239178208953,-0.004070623681463551,-0.05118325643840936,-0.006109582078696352,0.0026906276571340127,3168.491374014536,2971.202072690437,2978.8136384753925,3141.5259938503923,3083.584512008942,2766.5400505932325,2541.5587569545105,2556.612293412976,2516.929642405402,2790.5897721841066,3060.7515648232697,3063.94031887387,2992.881177099688,2867.8398097627532,2789.4256494108413,3047.252370921803,3037.336485378341,3038.951263029403,2982.0100283758693,2582.532397415401,16.28536157426646,14.069138763406535,20.442834355807506,15.909442774479215,17.467993191528592,16.910766128392552,30.187861731556353,1
U1_4,-195.4729,25.81823,-65.70438399999999,-34.009933000000004,-46.77391,-16.432776999999998,-24.114935,-0.8271879999999999,-3.1163702,-2.480686,2.4958415,10.025976,5.1300945,4.8812685,-0.0148920845,8.762818,-1.1183087,5.2781353,-1.4339857,-2.7556221,0.005371365793915889,0.018827254909847158,-0.00904833384115167,-0.01370351808680936,0.00016730064382900644,-0.0003319815786062398,2274.429452677703,2300.867243412522,2316.1732500866456,2360.9208973189525,2590.670454272729,2555.919080846623,2558.394672104251,2459.0425344459145,2343.2124256660945,2516.866585179333,2528.3367347185945,2589.05912890022,2778.6559266283693,3807.51030683808,6137.615004092309,5679.898574808809,4364.978659312809,3241.331959331156,3124.110011314645,3191.7738208371284,18.680121160029174,14.749935335084928,17.016585142315787,16.148361097017638,16.83512921768568,16.795003636177096,30.095266829553598,1
U1_5,-76.253334,17.754732,-91.37373000000001,-49.55531,-62.639269999999996,-18.985142,-27.960844,-1.2221467,-5.6211157,-0.52065873,6.396839,10.797883,4.2114983,3.850346,4.788319,13.413622,3.6847617999999995,12.381147,-0.14520894,-1.5446728,-0.033391325096693,-0.011118030563649652,-0.0015213208637024106,0.0300658847708464,-0.007166968441012609,-0.018602543638954874,2527.599688591037,2552.9099061269612,2661.9763128330624,2719.822104786621,2848.579812905804,2691.015839783393,2472.6558268589456,2579.8977349671427,2693.0441024863308,3291.1968187670695,3953.666979598539,3644.8912260092497,2867.193868169323,2656.2534451078322,2530.1575250068013,2495.852189176041,2695.541589180495,2867.218417512933,3056.1796671014968,3008.5333659288085,17.04505964969269,16.040462665895358,17.66151607303103,17.03521201246828,16.90564151258075,17.531763318636358,30.76170955359223,1
U1_7,-100.99314,33.309925,-78.09623,-39.704654999999995,-51.20459,-14.825311,-19.812567,12.616033,7.8926997000000005,5.887630000000001,5.62346,12.334074000000001,5.872351999999999,1.1519911,0.11503198,9.431451,-4.077447,6.668514,1.164676,-4.752425,-0.02046927204015713,-0.032022045133500314,-0.005188434973531001,0.043749541386790165,-0.00251600606668441,-0.021379245926850792,2893.102312526593,3104.7731343480737,3353.0465292375206,3555.8956272366377,3433.1645596804656,3223.9613804173823,3144.507116908222,2812.2596785763226,2566.217231544931,2926.7417982203115,3412.946804271862,3559.102866420501,3146.1316050204505,2524.5274285651985,2255.470620308807,2164.1623693797383,2178.3146042455496,2347.356908277594,2654.048857827797,3039.546313925578,17.509032591455664,12.770406159293998,18.60504974072865,18.95067768258956,18.79761144555185,18.094878138701095,30.72530643551509,1
U1_10,-171.41522,31.126392,-86.19681,-39.419003000000004,-50.233086,-20.021626,-28.548275,2.3694456,-0.7755695,5.171702,8.0511875,5.8939476,6.3274193,3.1513917,2.5750425,11.840038999999999,-5.2589717,6.0442147,-4.777222599999999,-7.937108,0.002953194115290618,0.013630426545307458,-0.0392949950463818,-0.016151560748788714,0.005980921510612588,-0.01012447374690874,3046.0590602994353,3067.270266272757,3137.401546765192,3215.4393033182014,3035.909939233135,2843.921564525723,2678.5602118619863,2729.128108344233,3156.079568162017,3422.497619502849,3418.7108215459857,2773.268658482725,2331.803091771103,2177.5326474280714,2359.377181162329,2693.6031545504748,2861.0968140836735,2942.0888893548918,2949.123511752825,2909.1923952561224,15.958385009375453,12.618587835891278,18.714236767344048,16.095255066882903,17.157270424648413,18.1926054517623,30.36576336653339,1
U1_11,-110.88856000000001,7.242425999999999,-96.7219,-46.674459999999996,-55.346382,-19.784357,-25.922174,5.9095235,-4.5144773,3.0087952999999996,15.610337,16.69144,12.930456,7.3393,4.5513224999999995,15.543609,0.36994284,7.9321675,-10.557327,-9.020307,0.014154381577180837,-0.014595685854324088,0.01272296130485863,0.038732188507571534,0.02783891163907761,-0.009498685892756906,3027.9980639700957,3082.429239277898,3357.9065213760073,3600.740321770345,3590.867850178926,3281.510336532011,2969.017673556655,2995.4130289316217,3431.1510969270894,3760.882679692288,3835.437276046629,3693.7382118515443,3190.1896689619566,2717.545387858556,2556.098672373099,2521.602396713771,2848.903954990496,3111.8132837370454,3169.367298273238,3270.2420534302587,16.32334833752813,12.565036888565533,19.282493953782602,17.77333554312357,16.83776584115425,17.99409977608514,31.088049712289024,1
U1_16,-296.9676,29.190898999999998,-70.21553,-31.85145,-38.83354,-15.165763,-25.488873,1.1090156,0.9227635000000001,6.162042,2.1969277999999997,-1.5294023,2.6046174,4.712139,-0.18001612,2.0941715,-6.1753573,0.78378403,-4.2113879999999995,-3.4650419,0.009421554826479658,0.003729757153687349,-0.02367440234313116,-0.0192737154576976,-0.007449688083585874,0.008891649715516812,2899.2575812819905,3039.581052774886,3076.764521894936,3021.733475292309,3072.765624006167,2893.8240932525237,2754.2721317580367,2737.023995339211,2829.773325537566,3210.4788625735273,3639.1353941552293,3644.8989106460353,3114.089862630687,2614.1201559094216,2268.517108832177,2115.9744145281547,2194.1166638897007,2199.4476027934797,2214.915811902388,2141.469901481993,17.023424488261295,12.20507912472989,18.178239081100248,16.55025823998729,18.388293855290197,16.802378185744377,30.81233628776364,1
