split_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,specent_0,specent_1,specent_2,specent_3,specent_4,specent_5,specent_6,specent_7,specent_8,specent_9,specent_10,specent_11,specent_12,specent_13,specent_14,specent_15,specent_16,specent_17,specent_18,specent_19,specontrast_0,specontrast_1,specontrast_2,specontrast_3,specontrast_4,specontrast_5,specontrast_6,user
U1_64,-324.52103,95.111046,-27.344309000000003,-19.114586,-20.369242,-1.6277533000000002,-6.906637,-3.4466998999999996,-11.878219,-1.1351105,-12.250261,-2.012754,-9.196458,-4.48991,-2.2232112999999996,-5.9249682,-12.922768,-5.2624083,-9.225402,-2.0532133999999997,-0.0005204327141604581,0.01860428963029051,-0.01916379890479621,-0.014889180082186038,0.005954936235167975,0.011018110155502685,1434.6668410436703,1409.740966892633,1453.267473358046,1586.212826324047,1590.7523893712535,1916.2263285628308,4672.9851705619785,6779.6089299930445,7010.62070074153,6882.532707972915,6637.537715594093,5796.852224222926,4290.334123382631,3207.0350290270635,2451.9177520852936,2161.9993689706507,2348.624229640137,4680.439963843275,6295.055456739746,6743.822804828871,22.67554589312793,12.050813428152141,13.806094186629732,14.617473538022251,18.227691602408207,19.154775986634867,31.31569607208237,1
U1_67,-272.16317999999995,93.9356,-56.734207,-23.263653,-19.24494,-5.8417525,-7.309315700000001,-5.9088655,-17.712687,-9.449477,-14.85278,-6.860458400000001,-14.774476000000002,-5.314179,-4.5447809999999995,-5.712179,-9.585203,-2.0400584,-12.257800999999999,0.7499633000000001,0.008241881520547325,0.009147442562859114,-0.011303054704063694,-0.03575174159359712,0.01129938605099125,0.0120948056594052,3974.0546723202174,4091.974752112902,4182.124064802492,3995.892269236688,2306.220155370984,1919.5839370155904,2017.9787434955106,2008.3518859362014,1865.046268578355,2039.9165116944926,1995.0295933505993,1937.5912623493946,2053.7814454694667,2262.560936018901,2511.0201673186702,2535.6319211841155,2531.9194222710707,2364.285781640628,2060.032714049596,1806.1392967313407,21.60607150390302,12.106873475880453,14.186109641404444,14.320898966593456,19.405224157519296,19.356678933609537,32.414139101823594,1
U1_72,-158.04748999999998,75.76309,7.478339999999999,6.501481,-0.99302316,6.698949000000001,-2.789329,-2.1951869,-11.983883,-0.6733731,-13.013812,-3.5633752,-11.62829,-9.476467,-3.1568894,-4.6503835,-5.647822,3.7928550000000003,-11.338824,3.8146114,-0.00233365631724079,0.019961629260337208,-0.0023565705137696155,-0.020746235189767256,0.008300115082742206,0.019766589712308814,2308.3143406655513,2422.6076294387162,2425.229774340033,2167.3697016899773,2071.1035863529983,2252.697414100263,2894.341208768837,5709.798242222769,4835.025053775506,3653.904071228888,2693.078224739773,2617.772090631753,2794.014007854009,2727.3828636345293,2774.055057419847,2904.499430762577,5240.399265975205,4838.086871387339,3894.1341034036436,2898.852673742673,21.399548071260647,10.944920714055163,13.635683300085844,13.58593900575573,15.061364217596175,17.25556858109948,31.925227809140797,1
U1_75,-315.56203999999997,75.10951999999999,-2.1480556,2.5648593999999996,-6.376676,2.9894173,-5.1116824,-2.6493417999999997,-6.778027000000001,-1.4922531,-6.255971400000001,-0.2295241,-11.117932000000001,-5.117645700000001,-4.222679,-3.7637873,-6.3947959999999995,-0.27319026,-7.888524,-0.66608596,0.0005844616893114974,0.015501867779756331,-0.004749630203192731,-0.0503372474220298,0.003642015936333504,0.017065814139599858,6169.3720276296435,5976.829720435114,5587.619439162926,4712.223015339565,4059.872413352961,3654.2067245952885,3178.194255363516,2988.5982224943573,2826.2713765102576,2456.351247293288,2361.952305830271,2414.607838688217,2166.385633558397,1898.4097708036081,1879.038982377042,2018.841321370451,2343.5798841325727,2390.2229063328405,2181.012205774303,2126.907551535556,20.973002240755125,11.408733486176734,12.679631767390108,14.291773136089336,16.897514505153488,17.195682645478744,30.6696000984596,1
U1_77,-31.688204,97.63244,-49.464344,10.557634,-3.7646267,6.1924825,-7.7791690000000004,2.127759,-6.2187243,0.060256607999999996,-12.680985,-0.67237353,-13.2593,-7.311592,-9.984017999999999,-3.4592687999999994,-9.264510000000001,2.364379,-7.997849,-3.4946468,0.020303980215906143,0.010388792870460522,0.0018198588627503683,-0.03819796108994044,-0.004564219956739843,0.021550687597315252,2162.6796263955453,2153.7725493090484,2102.6511420955376,2014.7743785622608,2066.1085907144598,2010.9813858527905,2634.818440398339,2852.995018982945,2691.586485267573,2511.6481251955192,2383.4815694631825,2321.7147271441554,2306.49626921986,2318.2339555652256,2236.0210154341653,2147.313971546664,2062.521482179407,2105.422300282132,2041.411482152068,1998.7681093699973,21.009299859560343,11.563349146064088,13.048566113232319,12.723221574606544,15.133733993519034,16.556628647510898,31.953926188382173,1
U1_78,-27.320228999999998,93.46485,-44.99872,7.711908,-4.2456656,6.1958337,-3.717018,2.816893,-5.4085717,-1.6335016000000002,-13.174909,-2.2500972999999997,-11.756989,-6.711094,-10.254725,-2.9690163,-8.75201,3.866058,-8.703592,-2.206362,0.02012934048468925,0.01272240924421122,-0.011051210350004198,-0.043948908989457434,0.00096230437630844,0.01570462814435884,2666.183968042213,2706.435889459502,2499.345859694721,2396.1137092235576,2426.425203932925,2370.4066554372484,2298.879799018413,2218.1310205252366,2153.1893611955147,2157.9885602476097,2093.9516638792684,2053.7497832599865,2131.2758066827855,2018.7287352337744,1908.9212390739651,3047.2049765674865,2927.0033250160536,2727.434631569393,2603.128289834007,2473.628527537541,19.771000505524164,11.846240083207345,13.745660542319913,13.280210720233185,15.12505341988431,17.09837319801962,32.12044053992166,1
U1_79,-291.34006,50.496475,-34.019012,6.909099,-5.5609946,1.4122834999999998,-2.8618805,5.745051999999999,-1.7223079,-2.0101955,-5.5726976,0.06384676,-9.59037,-3.9118855000000003,-6.2740792999999995,-4.0979047,-6.976373700000001,0.797329,-4.2449946,-0.06537633400000001,0.026747992444697118,0.007576419833109396,0.018455841161053317,-0.04955353292411825,0.005288532153145524,0.010875730025956772,2412.470671389395,2378.467641729097,2353.65408861598,2353.5863952864192,2302.6015607698127,2190.3187260507925,2190.312194263989,2149.1171718314545,2204.6448707355207,2296.3987376972536,3343.879116687787,3163.9544240704045,2974.1033939808685,2738.394302622104,2581.8235162169212,2522.593666948323,2464.7694135051042,2459.0001873373385,2345.2133499846204,2234.261151440578,17.474264549894162,11.643049920941804,14.438542670585035,14.694232848866438,15.580523720641768,17.920060019020465,32.156196316386534,1
U1_81,-92.296425,100.9677,-31.394382,10.881408,-2.7869325000000003,4.822152,-3.2414662999999995,-3.3427577000000004,-6.961701,-2.5542102000000004,-10.43763,-3.4617797999999995,-12.671349000000001,-5.818734,-6.119473999999999,-7.380408999999999,-6.182825599999999,-1.8495991999999999,-9.651983999999999,-0.46002302,0.020369474739848188,0.028323573229634268,0.010514502724011277,-0.034998019900301915,-0.006912726968539209,0.012564139087395487,3769.4332000907802,3087.0862742970226,2431.185188162197,2346.309384869754,2219.323675964207,2184.780954575065,2212.319104631492,2171.297450808535,2280.210435970737,2282.0121577922355,2167.535479190833,2188.858401655288,2229.7331915604245,2284.7736781224944,3109.4010998777285,2817.5449293941333,2568.623064720026,2554.719654650044,2557.119840399964,2485.376255488318,22.22037627369489,11.567800975605953,12.190283702598153,12.696120034923739,15.139667251360171,16.945610055115342,31.120673064936327,1
U1_82,-46.746437,106.11237,-41.772034000000005,5.15386,-3.4615657,6.1722884,-7.960776299999999,-0.12198571,-2.698925,-4.5937410000000005,-14.116485999999998,-1.7943988999999998,-13.647029000000002,-6.102142,-7.257966000000001,-7.064686999999999,-5.8170967000000005,-0.14290465,-8.916186999999999,-0.6539894,0.012579622128438562,0.019366542301015213,0.02406379606189354,-0.038511714202234607,0.007982250150549472,0.017566452231044142,2255.730816634883,2186.9779678257087,2162.0458708217398,2163.3838818925324,2174.29166054002,2140.8371883105856,2020.6884095535504,1991.4955356188393,2010.544889292473,1972.8621711361295,1999.7927342627427,2075.784422511976,2617.7497166205194,2404.1804818262744,2222.0584259620414,2181.3970061025047,2208.861330309759,2193.1554303675075,2175.9196095456978,2103.274328247759,20.030497299438085,10.990083963400618,11.782512641729724,13.169383667143398,15.952944559940367,17.28998454765022,31.406610662742423,1
U1_85,-499.26657,95.16263599999999,30.991965999999998,-1.3768139,-1.1249328,5.411328,-3.7480469,-7.1167316,-9.67013,-11.634638,-12.153513,-1.8952953999999997,-12.7477045,-11.13279,0.84694916,-6.1650276,-8.092613,-2.6032112,-9.411012,-5.898707,0.0033843079183317314,0.015094243387300924,-0.014168876341020018,-0.041978289383924464,-0.00143445328964507,0.017973518523591067,1857.9794524305726,1937.6877323575266,2047.9689377010407,2084.094874626695,1873.742012536984,1782.1201768806748,1877.3900271074247,2062.6391388251777,2173.5491194898564,2266.8677541958277,2403.712162460176,2426.9626648511303,2383.2767133682323,2470.7298574671504,2251.25213327362,2415.914775764935,2379.7350718669313,2232.425691173325,2297.185863647603,2183.985920786203,21.45101378633897,11.441306193820578,14.916934906147207,15.989326614660596,18.382891806089045,18.072545149864663,29.113501963946252,1
